	January	February	March	April	May	June	July 	August 	September	October 	November 	December
1950	49.04	23.84	26.65	31.78	21.33	9.9	37.58	8.58	38.56	6	26.39	24.58
1951	36.11	25.06	18.36	39.72	30.08	16.74	24.05	55.26	12.08	44.27	32.35	81.53
1952	50.93	19.9	48.98	39.77	26.74	27.76	32.58	43.15	23.12	0.2	27.73	29.67
1953	28	17.9	30.36	36.24	31.36	13.41	44.11	43.87	2.6	39.58	32.71	18.47
1954	25.62	10.9	50.34	15.18	28.97	15.47	36.04	23.43	54.86	30.22	25.15	22.78
1955	29.55	43.09	15.02	18.1	27.5	16.89	27.18	51.26	13.7	10.35	36.45	34.31
1956	55.43	25.56	11.37	30.05	21.65	6.73	27.79	20.47	3.79	26.7	13.97	27.49
1957	73.47	23.37	35.39	62.7	80.74	32.93	46.76	69.99	5.63	64.28	57.86	25.15
1958	19.02	38.16	46.02	27.23	20.57	11.29	12.68	26.23	34.91	13.24	27.6	17.85
1959	16.82	44.03	20.55	31.2	21.9	23.92	17.1	48.86	46.17	43.4	12.84	34.26
1960	27.07	46.22	33.72	25.53	21.3	13.82	15.18	14.28	24.33	49.96	30.48	23.07
1961	8.21	18.58	55.74	31.86	25.32	5.93	24.77	51.63	76.98	45.74	28.58	28.29
1962	37.36	59.77	21.13	28	25.8	13.17	15.45	11.94	36.06	33.72	22.98	15.85
1963	30.97	26.03	28.58	36.25	7.82	22.68	21.64	72.28	34.18	25.51	21.87	13.39
1964	19.3	15.2	38.31	47.55	31.05	26.84	27.4	40.45	24.09	3.47	44.68	63.27
1965	35.47	26.07	35.54	47.5	48.11	45.77	56.75	40.33	56.3	22.74	51.19	53.44
1966	11.04	24.13	10.94	21.2	25.41	17	29.12	33.91	27.16	27.14	20.87	66.12
1967	29.26	15.34	22.07	19.34	43.36	51.17	37.02	38.14	32.27	14.66	18.36	61.12
1968	14.79	38.11	23.64	50.8	30.3	16.72	34.75	59.15	11.4	22.07	26.15	30.14
1969	66.46	43.11	22.11	22.87	18.88	64.26	34.91	35.96	31.84	71.07	19.66	25.3
